User_id,Gender,Age,Preferred_PL,Known_PL,way_of_learning,contest,Goal,Resource,Role,Internship,Workshop_rating,algorithm,Data_structure,no_of_contest_win,hours_spent,projects_based_on,c,python,java,c_plus,C_sh,F_sh,java_script,html,ruby,web,research,data_science,back_end,big_data,app,paper_presentation,operating_system
1,Female,20,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,4,9,10,1,5,"web designing,research project,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
2,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Codechef,Software developer,yes,3,8,9,0,4,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
3,Male,18,JAVA,"C, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerearth,Software developer,no,2,8,9,0,4,"web designing,research project,data analytics",yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
4,Male,21,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerrank,Software developer,yes,3,10,10,1,4,"web designing,back end designing,research project,big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no
5,Female,19,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,no,3,8,9,0,6,"web designing,big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
6,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerearth,Data scientist,yes,2,9,10,0,8,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
7,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerrank,Data scientist,no,0,7,8,0,5,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
8,Male,19,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Google code jam,Software developer,yes,5,8,9,0,9,"web designing,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
9,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Coursera,Data scientist,no,0,9,10,0,6,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
10,Female,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Google code jam,Data scientist,yes,3,8,9,0,5,"web designing,app development,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no
11,Male,19,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Internship,Codechef,Web Developer,yes,2,9,9,0,7,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
12,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,MOOCS,Software developer,yes,3,10,9,1,5,"web designing,research project,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
13,Male,21,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerrank,Data scientist,yes,3,10,9,0,6,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
14,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Practicing Coding Skills,Hackerrank,Data scientist,no,2,8,8,0,4,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
15,Male,20,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Live coding contest,Practicing Coding Skills,Codechef,Software developer,yes,3,8,9,0,7,"web designing,big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
16,Male,20,C,"C, PYTHON, JAVA",ONLINE,Online coding contest,Full time job,Hackerearth,Data scientist,yes,3,9,8,0,6,data analytics,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
17,Male,20,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Codechef,Software developer,yes,3,10,9,0,5,"web designing,back end designing,research project,paper presentation",yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no
18,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Udacity,Software developer,no,2,9,10,0,5,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
19,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Udemy,Data scientist,no,1,7,8,0,4,web designing.big data,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
20,Male,19,C,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Online coding contest,Internship,Codecademy,Software developer,yes,3,8,8,0,5,"web designing,big data",yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no
21,Female,20,C++,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerrank,Data scientist,yes,2,8,7,0,5,"web designing,app development",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
22,Female,20,PYTHON,"C, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Practicing Coding Skills,Coursera,Mobile app developer,yes,3,8,8,0,6,web designing,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
23,Male,20,PYTHON,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Online coding contest,Internship,Udacity,Data scientist,yes,2,9,9,1,6,"web designing,back end designing",yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no
24,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Live coding contest,Practicing Coding Skills,Codechef,Mobile app developer,yes,2,9,8,0,5,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
25,Male,21,C,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Live coding contest,Internship,Hackerrank,Software developer,yes,4,9,8,0,6,"web designing,app development,operating system",yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes
26,Female,20,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Udacity,Software developer,no,3,9,8,0,6,web designing,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
27,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerearth,Data scientist,yes,1,8,9,0,5,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
28,Female,20,PYTHON,"PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerearth,Data scientist,no,0,8,7,0,9,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
29,Male,20,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerearth,Backend web developer,yes,0,8,8,0,7,"web designing,back end designing",yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no
30,Male,19,JAVA,"C, JAVA",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Data scientist,yes,2,9,10,2,7,"big data,data analytics",yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no
31,Male,19,PYTHON,"C#, F#, RUBY",LIVE TEACHING,Live coding contest,Full time job,Others,Mobile app developer,no,3,10,9,0,6,app development,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no
32,Male,20,JAVA,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Khan Academy,Software developer,yes,4,10,10,2,6,"web designing,app development",yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no
33,Male,20,C,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Coursera,Backend web developer,no,2,9,8,0,5,"web designing,app development",yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
34,Female,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,3,9,9,0,6,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
35,Female,19,C,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerearth,Software developer,yes,2,8,8,0,5,"web designing,back end designing,app development",yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no
36,Female,19,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Udemy,Data scientist,yes,1,8,8,0,5,web designing,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
37,Male,20,C,"C, PYTHON, JAVA, C++, HTML",LIVE TEACHING,Live coding contest,Practicing Coding Skills,Codechef,Software developer,yes,3,8,9,0,5,data analytics,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
38,Female,20,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Coursera,Software developer,no,3,7,8,0,5,"web designing,data analytics,paper presentation",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no
39,Female,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Coursera,Data scientist,yes,4,8,8,0,6,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
40,Female,19,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerearth,Data scientist,yes,4,8,9,0,5,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
41,Female,20,C,"C, PYTHON, JAVA, C++, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Code Wars,Web Developer,yes,2,6,8,0,7,data analytics,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
42,Female,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Live coding contest,Full time job,Hackerrank,Data scientist,yes,4,8,9,0,5,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
43,Male,19,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Practicing Coding Skills,Others,Software developer,no,5,9,8,0,4,"web designing,app development",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
44,Female,20,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Internship,Coursera,Software developer,yes,4,10,9,1,5,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
45,Female,19,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Coursera,Web Developer,yes,5,10,9,1,5,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
46,Male,20,JAVA,"C, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerrank,Data scientist,yes,0,8,9,0,6,"big data,data analytics",yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
47,Male,21,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Hackerrank,Web Developer,yes,4,8,9,0,7,"web designing,app development",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
48,Male,20,JAVA,"C, PYTHON, JAVA",ONLINE,Online coding contest,Full time job,Hackerrank,Data scientist,yes,3,8,8,0,5,big data,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
49,Female,20,JAVA,"C, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Internship,Coursera,Data scientist,yes,5,9,8,0,5,"web designing,big data,data analytics",yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
50,Male,21,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Udemy,Mobile app developer,no,4,8,10,0,8,"web designing,app development",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
51,Female,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Codechef,Software developer,yes,2,10,9,1,5,"web designing,big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
52,Female,21,PYTHON,"C, PYTHON",LIVE TEACHING,Live coding contest,Full time job,Codechef,Software developer,yes,1,9,10,1,5,app development,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
53,Female,20,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Udacity,Data scientist,yes,2,8,8,0,3,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
54,Female,19,C,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Internship,Khan Academy,Data scientist,no,0,9,9,0,4,data analytics,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
55,Female,20,PYTHON,"C, PYTHON, JAVA",ONLINE,Online coding contest,Full time job,Codechef,Software developer,yes,0,9,9,0,2,"web designing,data analytics,paper presentation",yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
56,Male,20,C,"C, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Internship,Hackerearth,Mobile app developer,yes,4,8,9,0,1,web designing,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
57,Female,20,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Others,Mobile app developer,yes,3,9,8,0,5,"web designing,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
58,Male,20,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Live coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,4,8,9,0,6,data analytics,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
