user_id,job_preference,recommended_languages
1,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
2,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
3,Software developer,"{'known': ['C', 'C++', 'JAVA'], 'recommend': ['C#', 'PYTHON', 'RUBY', 'F#']}"
4,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
5,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
6,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
7,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
8,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
9,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
10,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
11,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
12,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
13,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
14,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
15,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
16,Data scientist,"{'known': ['PYTHON'], 'recommend': ['R', 'SAS']}"
17,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
18,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
19,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
20,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
21,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
22,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
23,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
24,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
25,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
26,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
27,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
28,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
29,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
30,Data scientist,"{'known': [], 'recommend': ['PYTHON', 'R', 'SAS']}"
31,Mobile app developer,"{'known': ['C'], 'recommend': ['XML', 'JAVA', 'C++']}"
32,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
33,Backend web developer,"{'known': ['PYTHON'], 'recommend': ['PHP', 'SQL']}"
34,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
35,Software developer,"{'known': ['C', 'C++', 'JAVA', 'C#', 'PYTHON'], 'recommend': ['RUBY', 'F#']}"
36,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
37,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
38,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
39,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
40,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
41,Web Developer,"{'known': ['HTML'], 'recommend': ['CSS', 'JAVASCRIPT', 'JQUERY', 'HTML5']}"
42,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
43,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
44,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
45,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
46,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
47,Web Developer,"{'known': ['HTML', 'JAVASCRIPT'], 'recommend': ['CSS', 'JQUERY', 'HTML5']}"
48,Data scientist,"{'known': ['PYTHON'], 'recommend': ['R', 'SAS']}"
49,Data scientist,"{'known': ['R'], 'recommend': ['PYTHON', 'SAS']}"
50,Mobile app developer,"{'known': ['JAVA', 'C', 'C++'], 'recommend': ['XML']}"
51,Software developer,"{'known': ['C', 'C++', 'JAVA', 'PYTHON'], 'recommend': ['C#', 'RUBY', 'F#']}"
52,Software developer,"{'known': ['C', 'PYTHON'], 'recommend': ['C++', 'JAVA', 'C#', 'RUBY', 'F#']}"
53,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
54,Data scientist,"{'known': ['PYTHON', 'R'], 'recommend': ['SAS']}"
55,Software developer,"{'known': ['C', 'JAVA', 'PYTHON'], 'recommend': ['C++', 'C#', 'RUBY', 'F#']}"
56,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
57,Mobile app developer,"{'known': ['JAVA', 'C'], 'recommend': ['XML', 'C++']}"
